Retailer Id,RetailerName,current status,landingUrl,Live or Not,status
2329, Lendingplate Personal Loan d,Active,https://lendingplate.com/personal-loan,Yes,
97,100bestbuy.com,Active,http://35.194.30.57/go2store/id/97,No,
1015,11wickets.com,Active,https://www.11wickets.com/,No,
650,1mg Coupons,Active,https://www.1mg.com/,Yes,
1195,1mg D,Active,https://www.1mg.com/,Yes,
1126,1mg Exclusive,Active,https://www.1mg.com/,Yes,
560,1mg Medicines,Active,https://www.1mgmedicines.com/,Yes,
269,1mg.com,INActive,https://www.1mg.com/,Yes,
513,1mgayush.com,Active,http://35.194.30.57/go2store/id/513,No,
1007,1mglabs,Active,https://www.1mg.com/labs,Yes,
685,20Dresses.com,Active,http://www.20dresses.com/,Yes,
136,21diamonds.com,Active,http://35.194.30.57/go2store/id/136,No,
970,2gud.com,Active,https://www.flipkart.com/,Yes,
111,48Craft.com,Active,http://35.194.30.57/go2store/id/111,No,
741,5paisa.com,Active,https://www.5paisa.com/,Yes,
120,99labels.com,Active,http://35.194.30.57/go2store/id/120,No,
221,99lens.com,Active,http://35.194.30.57/go2store/id/221,No,
199,9rasa.com,Active,http://35.194.30.57/go2store/id/199,No,
784,9stacks.in,Active,https://www.9stacks.in/,No,
595,9teenagain.com,Active,http://www.9teenagain.com/,No,
1897,A23 Fantasy D,Active,https://www.a23.com/,Yes,
1953,AajTak Campus D,Active,https://www.aajtakcampus.in/,Yes,
1402,Aakash D,Active,https://anthe.aakash.ac.in/,Yes,
1506,Abhibus,Active,https://www.abhibus.com/,Yes,
466,Abof,Active,http://35.194.30.57/go2store/id/466,No,
641,Abof-Coupons,Active,https://www.abof.com/,Yes,
1287,Ace2three D,Active,https://www.ace2three.com/,Yes,
599,Ace2three.com,Active,https://www.ace2three.com/,Yes,
1580,Acer,Active,https://store.acer.com/en-in/,Yes,
1821,Acer D,Active,https://www.acer.com/in-en/,Yes,
946,Acko.com,Active,https://www.acko.com/,Yes,
832,Adda52-Poker,Active,https://www.adda52.com/,Yes,
419,Adda52.com,Active,https://www.adda52.com/,Yes,
516,Adda52Rummy.com,Active,http://35.194.30.57/go2store/id/516,No,
531,Adidas,Active,https://www.adidas.co.in/,Yes,
1452,Adidas D,Active,https://adidas.co.in,Yes,
324,Adirawomen.com,Active,http://35.194.30.57/go2store/id/324,No,
256,Adlabsimagica.com,Active,https://www.adlabsimagica.com,No,
1673,Agoda D,Active,https://www.agoda.com/,Yes,
152,Agoda.com,Active,https://www.agoda.com/,Yes,
2261,Air India,Active,https://www.airindia.com/,Yes,
2279,Air India D,Active,https://www.airindia.com/,Yes,
439,Air vistara,Active,https://www.airvistara.com/,Yes,
2251,Air vistara D,Active,https://www.airvistara.com/,Yes,
712,Airasia,Active,https://www.airasia.co.in,No,
2147,Airasia D,Active,https://www.airasia.co.in,No,
349,Airasiago.com,Active,http://35.194.30.57/go2store/id/349,No,
549,Airbnb.co.in,Active,https://www.airbnb.co.in/,Yes,
25,Aircel.com,Active,http://35.194.30.57/go2store/id/25,No,
314,Airtel,Active,http://35.194.30.57/go2store/id/314,No,
2245,Airtel Broadband,Active,https://www.airtel.in/broadband/feasibility,Yes,
2246,Airtel Broadband D,Active,https://www.airtel.in/broadband/feasibility,Yes,
2239,Airtel DTH,Active,https://www.airtel.in/digital-tv/buy-hd-connection,Yes,
2233,Airtel DTH D,Active,https://www.airtel.in/digital-tv/buy-hd-connection,Yes,
589,Airtel Payment Bank,Active,https://www.airtel.in/prepaid-recharge,Yes,
1753,Airtel Postpaid D,Active,https://www.airtel.in/myplan-infinity/,Yes,
1988,Airtel Prepaid D,Active,https://www.google.com/,Yes,
501,Ajio,Active,https://www.ajio.com/,Yes,
1159,Ajio D,Active,https://www.ajio.com/,Yes,
1540,AJIO KIDS,Active,https://www.ajio.com/shop/kids,Yes,
1808,Ajio Luxe,Active,https://www.ajio.com/b/luke-lilly,Yes,
777,Ajio-Exclusive,Active,https://www.ajio.com,Yes,
620,Akbartravels.com,Active,https://www.akbartravels.com/,Yes,
918,AkshayaPatra.org,Active,https://www.akshayapatra.org/,Yes,
1275,Alamy,Active,https://www.alamy.com/,Yes,
1300,Alchemlife,Active,https://www.alchemlife.com/in,No,
1439,Alibaba,Active,https://offer.alibaba.com/,Yes,
1477,Aliexpress D,Active,https://best.aliexpress.com/,Yes,
655,Aliexpress-Coupons,Active,http://www.aliexpress.com/,Yes,
471,Aliexpress.com,Active,http://35.194.30.57/go2store/id/471,No,
1681,Allensolly D,Active,https://www.allensolly.com/,Yes,
1678,Allensolly.com,Active,https://www.allensolly.com/,Yes,
1116,Allonlinestore.in,Active,https://www.allonlinestore.in/,No,
123,Allschoolstuff.com,Active,http://35.194.30.57/go2store/id/123,No,
1046,Almamaterstore.in,Active,https://www.almamaterstore.in,Yes,
1585,Almo wear,Active,https://almowear.com/,Yes,
1768,Almo wear D,Active,https://almowear.com/,Yes,
886,Almosafer.com,Active,https://www.almosafer.com/ar,Yes,
1767,Alphaniti D,Active,https://alphaniti.com/,Yes,
1054,Altbalaji.com,Active,,,
1997,Amaara Herbs,Active,https://www.amaaraherbs.com/,No,
1998,Amaara Herbs D,Active,https://www.amaaraherbs.com/,No,
2202,Amala Earth,Active,https://amala.earth,Yes,
2203,Amala Earth D,Active,https://amala.earth,Yes,
286,Amarchitrakatha.com,Active,http://35.194.30.57/go2store/id/286,No,
258,Amazon,Active,https://www.amazon.in/,Yes,
1254,Amazon Audible,Active,https://www.amazon.in/Audible-Membership/dp/B077S5CVBQ,Yes,
1987,Amazon Beauty Exclusive,Active,https://www.amazon.in,Yes,
1056,Amazon Business,Active,https://www.amazon.in/b2b/info/amazon-business,Yes,
1151,Amazon D,Active,https://www.amazon.in/,Yes,
1124,Amazon Food Delivery,Active,https://www.amazon.in,Yes,
982,Amazon Gold Pendants,Active,https://amazon.in/,Yes,
1091,Amazon Grocery,Active,https://www.amazon.in/Gourmet-Specialty-Foods/b?node=2454178031,Yes,
1437,Amazon Laptops,Active,https://www.amazon.in/,Yes,
2338,Amazon Noise,Active,https://www.microsoft.com/en-in/,Yes,
1230,Amazon Pantry T,Active,https://www.amazon.in/pantry-online-grocery-shopping-store/b?node=9574332031,Yes,
1377,Amazon Pharmacy,Active,https://www.amazon.in/HealthKart-Vitals-Capsule-Capsules-1000mg/dp/B0757MM647,Yes,
1083,Amazon Recharge & Bill Payment,Active,https://www.amazon.in/hfc/mobileRecharge,Yes,
1289,Amazon Top Offers,Active,https://www.amazon.in/,Yes,
845,Amazon-Music,Active,https://music.amazon.in,Yes,
1143,American Eagle,Active,https://www.aeo.in/,Yes,
1676,American Eagle D,Active,https://www.aeo.in,Yes,
682,Americanexpressindia.co.in,Active,https://www.americanexpress.com/in/,Yes,
300,AmericanSwan.com,Active,http://35.194.30.57/go2store/id/300,No,
1382,Amulya Ayurveda,Active,https://www.amulyahealth.com/,No,
1653,Amydus,Active,https://www.amydus.com/,Yes,
1654,Amydus D,Active,https://www.amydus.com/,Yes,
1000,Andindia,Active,https://www.andindia.com/,Yes,
2165,Andindia D,Active,https://www.andindia.com/,Yes,
1847,Andme,Active,https://andme.in/,Yes,
1848,Andme D,Active,https://andme.in/,Yes,
1716,Angel Broking D,Active,https://itrade.angelone.in/,No,
1737,Angel One,Active,tracktrack.org/655f2f6d2de73a00012935ba?sub9={retailer_id}&sub10={click_id},Yes,
1924,Angel One Exclusive,Active,https://itrade.angelone.in/,No,
1368,Anveya,Active,https://www.anveya.com/,Yes,
493,Aplava.com,Active,https://www.aplava.com/,Yes,
1573,Apollo 247 D,Active,https://www.apollopharmacy.in,Yes,
899,Apollo 247 Pharmacy,Active,https://www.apollo247.com/,Yes,
2237,Apollo 24x7 Lab,Active,https://www.apollo247.com/landing-page/Diagnostics_Aff/index.html,Yes,
2,Apple Exclusive,INActive,https://www.flipkart.com/,Yes,
1,apple exclusive nn,INActive,https://www.flipkart.com/,Yes,
2259,Apple Exclusive Store,Active,https://www.flipkart.com/,Yes,
2155,Apple Music,Active,https://music.apple.com/in/subscribe,Yes,
1481,Apple Online Store India,Active,https://www.apple.com/in/,Yes,
1220,Aqualens,Active,https://aqualens.in/,Yes,
1796,Aqualens D,Active,https://aqualens.in/,Yes,
2177,Aqualogica,Active,https://aqualogica.in,Yes,
2178,Aqualogica D,Active,https://aqualogica.in,Yes,
1136,Arata,Active,https://www.arata.in/,Yes,
1465,Arata D,Active,https://www.arata.in/,Yes,
389,Archiesonline.com,Active,https://www.archiesonline.com/,Yes,
354,Artisangilt.com,Active,http://35.194.30.57/go2store/id/354,No,
1031,Arttdinox.com,Active,https://www.arttdinox.com/,Yes,
90,Arzoo.com,Active,http://35.194.30.57/go2store/id/90,No,
1082,Asianpaints,Active,https://www.asianpaints.com/online-shop/Sanitizers.html,Yes,
1428,Asianpaints D,Active,https://www.asianpaints.com/online-shop.html,Yes,
1016,Asics,Active,https://www.asics.com/,Yes,
2291,Asics D,Active,https://www.asics.com/,Yes,
421,Askmebazaar.com,Active,http://35.194.30.57/go2store/id/421,No,
464,AskmeGrocery.com,Active,http://35.194.30.57/go2store/id/464,No,
1876,AskNestle D,Active,https://www.asknestle.in/user/register,Yes,
805,Aslirummy.com,Active,https://www.aslirummy.com/,No,
1598,Assembly,Active,https://www.theassembly.in/,Yes,
1599,Assembly D,Active,https://www.theassembly.in/,Yes,
1383,Assgaurd D,Active,https://assguard.app/,No,
1513,AtlasVPN,Active,https://atlasvpn.com/deals,Yes,
1514,AtlasVPN D,Active,https://atlasvpn.com/deals,Yes,
370,Atmospheredirect.com,Active,http://35.194.30.57/go2store/id/370,No,
964,Atomberg.com,Active,https://atomberg.com/campaign-page/,Yes,
2083,AU Bank CC  D,Active,https://cconboarding.aubank.in/auccself/,No,
2108,Au Bank Credit Cards,Active,https://www.aubank.in/,Yes,
1889,AU Bank D,Active,https://aubank.in/,Yes,
2119,Au Bank Savings Account,Active,https://www.aubank.in/badlaav-humse-hai/savings-account-apply-online,Yes,
495,Avis.co.in,Active,http://35.194.30.57/go2store/id/495,No,
2047,Avr Pay D,Active,https://www.avrpay.com/,No,
2092,Axis Bank Account,Active,https://axisbank.com/,Yes,
2016,Axis Bank CC D,Active,https://web.axisbank.co.in/DigitalChannel/WebForm,Yes,
2015,Axis Bank Credit Cards,Active,https://clctab.axisbank.co.in/DigitalChannel/WebForm,No,
1887,Axis Bank D,Active,https://axisbank.com/verification,No,
1652,Axis Direct D,Active,https://simplehai.axisdirect.in/,Yes,
1225,Aza Fashion,Active,,,
1212,Aza Fashions,Active,https://www.azafashions.com/,Yes,
1140,Azani Sport,Active,https://www.azanisport.com/,Yes,
882,Baadshah Gaming Fantasy Chhota,Active,https://www.baadshahgaming.com/,Yes,
870,BaadshahGaming-Fantasy,Active,https://www.baadshahgaming.com/,Yes,
880,BaadshahGaming-Rummy,Active,https://www.baadshahgaming.com/,Yes,
866,BaadshahGaming.com,Active,https://www.baadshahgaming.com/,Yes,
